slot	range	pattern	structured_pattern.syntax
sludge_retent_time	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
soluble_inorg_mat	string		
soluble_org_mat	string		
tertiary_treatment	string		
wastewater_type	string		
atmospheric_data	string		
bac_prod	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
bac_resp	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
diss_inorg_nitro	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
down_par	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
fluor	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
light_intensity	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
part_org_nitro	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
photon_flux	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
primary_prod	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
soluble_react_phosp	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
suspend_part_matter	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
tot_diss_nitro	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
tot_inorg_nitro	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
tot_part_carb	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
ploidy	string	^([^\s-]{1,2}|[^\s-]+.+[^\s-]+) \[[a-zA-Z]{2,}:[a-zA-Z0-9]\d+\]$	^{termLabel} \[{termID}\]$
propagation	string		
virus_enrich_appr	VirusEnrichApprEnum		
bin_param	BinParamEnum		
bin_software	string		
compl_appr	ComplApprEnum		
contam_score	float		
contam_screen_input	ContamScreenInputEnum		
contam_screen_param	string		
decontam_software	string		
mag_cov_software	MagCovSoftwareEnum		
reassembly_bin	boolean		
size_frac	string		
trna_ext_software	string	^([^\s-]{1,2}|[^\s-]+.+[^\s-]+);([^\s-]{1,2}|[^\s-]+.+[^\s-]+);([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{software};{version};{parameters}$
trnas	string		
x16s_recover	boolean		
x16s_recover_software	string	^([^\s-]{1,2}|[^\s-]+.+[^\s-]+);([^\s-]{1,2}|[^\s-]+.+[^\s-]+);([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{software};{version};{parameters}$
sc_lysis_approach	ScLysisApproachEnum		
sc_lysis_method	string		
sort_tech	SortTechEnum		
wga_amp_appr	WgaAmpApprEnum		
wga_amp_kit	string		
detec_type	string		
host_pred_appr	HostPredApprEnum		
host_pred_est_acc	string		
otu_class_appr	string		^{integer}%\s*ANI;\s*{integer}%\s*AF;\s*{text}$
otu_db	string		
otu_seq_comp_appr	string		
pred_genome_struc	PredGenomeStrucEnum		
pred_genome_type	ViralGenomeTypeEnum		
source_uvig	string		
vir_ident_software	string		
agriculture_data	Agriculture		
air_data	Air		
built_environment_data	BuiltEnvironment		
food_animal_and_animal_feed_data	FoodAnimalAndAnimalFeed		
food_farm_environment_data	FoodFarmEnvironment		
food_food_production_facility_data	FoodFoodProductionFacility		
food_human_foods_data	FoodHumanFoods		
host_associated_data	HostAssociated		
human_associated_data	HumanAssociated		
human_gut_data	HumanGut		
human_oral_data	HumanOral		
human_skin_data	HumanSkin		
human_vaginal_data	HumanVaginal		
hydrocarbon_resources_cores_data	HydrocarbonResourcesCores		
hydrocarbon_resources_fluids_swabs_data	HydrocarbonResourcesFluidsSwabs		
microbial_mat_biofilm_data	MicrobialMatBiofilm		
migs_ba_agriculture_data	MigsBaAgriculture		
migs_ba_air_data	MigsBaAir		
migs_ba_built_environment_data	MigsBaBuiltEnvironment		
migs_ba_data	MigsBa		
migs_ba_food_animal_and_animal_feed_data	MigsBaFoodAnimalAndAnimalFeed		
migs_ba_food_farm_environment_data	MigsBaFoodFarmEnvironment		
migs_ba_food_food_production_facility_data	MigsBaFoodFoodProductionFacility		
migs_ba_food_human_foods_data	MigsBaFoodHumanFoods		
migs_ba_host_associated_data	MigsBaHostAssociated		
migs_ba_human_associated_data	MigsBaHumanAssociated		
migs_ba_human_gut_data	MigsBaHumanGut		
migs_ba_human_oral_data	MigsBaHumanOral		
migs_ba_human_skin_data	MigsBaHumanSkin		
migs_ba_human_vaginal_data	MigsBaHumanVaginal		
migs_ba_hydrocarbon_resources_cores_data	MigsBaHydrocarbonResourcesCores		
migs_ba_hydrocarbon_resources_fluids_swabs_data	MigsBaHydrocarbonResourcesFluidsSwabs		
migs_ba_microbial_mat_biofilm_data	MigsBaMicrobialMatBiofilm		
migs_ba_miscellaneous_natural_or_artificial_environment_data	MigsBaMiscellaneousNaturalOrArtificialEnvironment		
migs_ba_plant_associated_data	MigsBaPlantAssociated		
migs_ba_sediment_data	MigsBaSediment		
migs_ba_soil_data	MigsBaSoil		
migs_ba_symbiont_associated_data	MigsBaSymbiontAssociated		
migs_ba_wastewater_sludge_data	MigsBaWastewaterSludge		
migs_ba_water_data	MigsBaWater		
migs_eu_agriculture_data	MigsEuAgriculture		
migs_eu_air_data	MigsEuAir		
migs_eu_built_environment_data	MigsEuBuiltEnvironment		
migs_eu_data	MigsEu		
migs_eu_food_animal_and_animal_feed_data	MigsEuFoodAnimalAndAnimalFeed		
migs_eu_food_farm_environment_data	MigsEuFoodFarmEnvironment		
migs_eu_food_food_production_facility_data	MigsEuFoodFoodProductionFacility		
migs_eu_food_human_foods_data	MigsEuFoodHumanFoods		
migs_eu_host_associated_data	MigsEuHostAssociated		
migs_eu_human_associated_data	MigsEuHumanAssociated		
migs_eu_human_gut_data	MigsEuHumanGut		
migs_eu_human_oral_data	MigsEuHumanOral		
migs_eu_human_skin_data	MigsEuHumanSkin		
migs_eu_human_vaginal_data	MigsEuHumanVaginal		
migs_eu_hydrocarbon_resources_cores_data	MigsEuHydrocarbonResourcesCores		
migs_eu_hydrocarbon_resources_fluids_swabs_data	MigsEuHydrocarbonResourcesFluidsSwabs		
migs_eu_microbial_mat_biofilm_data	MigsEuMicrobialMatBiofilm		
migs_eu_miscellaneous_natural_or_artificial_environment_data	MigsEuMiscellaneousNaturalOrArtificialEnvironment		
migs_eu_plant_associated_data	MigsEuPlantAssociated		
migs_eu_sediment_data	MigsEuSediment		
migs_eu_soil_data	MigsEuSoil		
migs_eu_symbiont_associated_data	MigsEuSymbiontAssociated		
migs_eu_wastewater_sludge_data	MigsEuWastewaterSludge		
migs_eu_water_data	MigsEuWater		
migs_org_agriculture_data	MigsOrgAgriculture		
migs_org_air_data	MigsOrgAir		
migs_org_built_environment_data	MigsOrgBuiltEnvironment		
migs_org_data	MigsOrg		
migs_org_food_animal_and_animal_feed_data	MigsOrgFoodAnimalAndAnimalFeed		
migs_org_food_farm_environment_data	MigsOrgFoodFarmEnvironment		
migs_org_food_food_production_facility_data	MigsOrgFoodFoodProductionFacility		
migs_org_food_human_foods_data	MigsOrgFoodHumanFoods		
migs_org_host_associated_data	MigsOrgHostAssociated		
migs_org_human_associated_data	MigsOrgHumanAssociated		
migs_org_human_gut_data	MigsOrgHumanGut		
migs_org_human_oral_data	MigsOrgHumanOral		
migs_org_human_skin_data	MigsOrgHumanSkin		
migs_org_human_vaginal_data	MigsOrgHumanVaginal		
migs_org_hydrocarbon_resources_cores_data	MigsOrgHydrocarbonResourcesCores		
migs_org_hydrocarbon_resources_fluids_swabs_data	MigsOrgHydrocarbonResourcesFluidsSwabs		
migs_org_microbial_mat_biofilm_data	MigsOrgMicrobialMatBiofilm		
migs_org_miscellaneous_natural_or_artificial_environment_data	MigsOrgMiscellaneousNaturalOrArtificialEnvironment		
migs_org_plant_associated_data	MigsOrgPlantAssociated		
migs_org_sediment_data	MigsOrgSediment		
migs_org_soil_data	MigsOrgSoil		
migs_org_symbiont_associated_data	MigsOrgSymbiontAssociated		
migs_org_wastewater_sludge_data	MigsOrgWastewaterSludge		
migs_org_water_data	MigsOrgWater		
migs_pl_agriculture_data	MigsPlAgriculture		
migs_pl_air_data	MigsPlAir		
migs_pl_built_environment_data	MigsPlBuiltEnvironment		
migs_pl_data	MigsPl		
migs_pl_food_animal_and_animal_feed_data	MigsPlFoodAnimalAndAnimalFeed		
migs_pl_food_farm_environment_data	MigsPlFoodFarmEnvironment		
migs_pl_food_food_production_facility_data	MigsPlFoodFoodProductionFacility		
migs_pl_food_human_foods_data	MigsPlFoodHumanFoods		
migs_pl_host_associated_data	MigsPlHostAssociated		
migs_pl_human_associated_data	MigsPlHumanAssociated		
migs_pl_human_gut_data	MigsPlHumanGut		
migs_pl_human_oral_data	MigsPlHumanOral		
migs_pl_human_skin_data	MigsPlHumanSkin		
migs_pl_human_vaginal_data	MigsPlHumanVaginal		
migs_pl_hydrocarbon_resources_cores_data	MigsPlHydrocarbonResourcesCores		
migs_pl_hydrocarbon_resources_fluids_swabs_data	MigsPlHydrocarbonResourcesFluidsSwabs		
migs_pl_microbial_mat_biofilm_data	MigsPlMicrobialMatBiofilm		
migs_pl_miscellaneous_natural_or_artificial_environment_data	MigsPlMiscellaneousNaturalOrArtificialEnvironment		
migs_pl_plant_associated_data	MigsPlPlantAssociated		
migs_pl_sediment_data	MigsPlSediment		
migs_pl_soil_data	MigsPlSoil		
migs_pl_symbiont_associated_data	MigsPlSymbiontAssociated		
migs_pl_wastewater_sludge_data	MigsPlWastewaterSludge		
migs_pl_water_data	MigsPlWater		
migs_vi_agriculture_data	MigsViAgriculture		
migs_vi_air_data	MigsViAir		
migs_vi_built_environment_data	MigsViBuiltEnvironment		
migs_vi_data	MigsVi		
migs_vi_food_animal_and_animal_feed_data	MigsViFoodAnimalAndAnimalFeed		
migs_vi_food_farm_environment_data	MigsViFoodFarmEnvironment		
migs_vi_food_food_production_facility_data	MigsViFoodFoodProductionFacility		
migs_vi_food_human_foods_data	MigsViFoodHumanFoods		
migs_vi_host_associated_data	MigsViHostAssociated		
migs_vi_human_associated_data	MigsViHumanAssociated		
migs_vi_human_gut_data	MigsViHumanGut		
migs_vi_human_oral_data	MigsViHumanOral		
migs_vi_human_skin_data	MigsViHumanSkin		
migs_vi_human_vaginal_data	MigsViHumanVaginal		
migs_vi_hydrocarbon_resources_cores_data	MigsViHydrocarbonResourcesCores		
migs_vi_hydrocarbon_resources_fluids_swabs_data	MigsViHydrocarbonResourcesFluidsSwabs		
migs_vi_microbial_mat_biofilm_data	MigsViMicrobialMatBiofilm		
migs_vi_miscellaneous_natural_or_artificial_environment_data	MigsViMiscellaneousNaturalOrArtificialEnvironment		
migs_vi_plant_associated_data	MigsViPlantAssociated		
migs_vi_sediment_data	MigsViSediment		
migs_vi_soil_data	MigsViSoil		
migs_vi_symbiont_associated_data	MigsViSymbiontAssociated		
migs_vi_wastewater_sludge_data	MigsViWastewaterSludge		
migs_vi_water_data	MigsViWater		
mimag_agriculture_data	MimagAgriculture		
mimag_air_data	MimagAir		
mimag_built_environment_data	MimagBuiltEnvironment		
mimag_data	Mimag		
mimag_food_animal_and_animal_feed_data	MimagFoodAnimalAndAnimalFeed		
mimag_food_farm_environment_data	MimagFoodFarmEnvironment		
mimag_food_food_production_facility_data	MimagFoodFoodProductionFacility		
mimag_food_human_foods_data	MimagFoodHumanFoods		
mimag_host_associated_data	MimagHostAssociated		
mimag_human_associated_data	MimagHumanAssociated		
mimag_human_gut_data	MimagHumanGut		
mimag_human_oral_data	MimagHumanOral		
mimag_human_skin_data	MimagHumanSkin		
mimag_human_vaginal_data	MimagHumanVaginal		
mimag_hydrocarbon_resources_cores_data	MimagHydrocarbonResourcesCores		
mimag_hydrocarbon_resources_fluids_swabs_data	MimagHydrocarbonResourcesFluidsSwabs		
mimag_microbial_mat_biofilm_data	MimagMicrobialMatBiofilm		
mimag_miscellaneous_natural_or_artificial_environment_data	MimagMiscellaneousNaturalOrArtificialEnvironment		
mimag_plant_associated_data	MimagPlantAssociated		
mimag_sediment_data	MimagSediment		
mimag_soil_data	MimagSoil		
mimag_symbiont_associated_data	MimagSymbiontAssociated		
mimag_wastewater_sludge_data	MimagWastewaterSludge		
mimag_water_data	MimagWater		
mimarks_c_agriculture_data	MimarksCAgriculture		
mimarks_c_air_data	MimarksCAir		
mimarks_c_built_environment_data	MimarksCBuiltEnvironment		
mimarks_c_data	MimarksC		
mimarks_c_food_animal_and_animal_feed_data	MimarksCFoodAnimalAndAnimalFeed		
mimarks_c_food_farm_environment_data	MimarksCFoodFarmEnvironment		
mimarks_c_food_food_production_facility_data	MimarksCFoodFoodProductionFacility		
mimarks_c_food_human_foods_data	MimarksCFoodHumanFoods		
mimarks_c_host_associated_data	MimarksCHostAssociated		
mimarks_c_human_associated_data	MimarksCHumanAssociated		
mimarks_c_human_gut_data	MimarksCHumanGut		
mimarks_c_human_oral_data	MimarksCHumanOral		
mimarks_c_human_skin_data	MimarksCHumanSkin		
mimarks_c_human_vaginal_data	MimarksCHumanVaginal		
mimarks_c_hydrocarbon_resources_cores_data	MimarksCHydrocarbonResourcesCores		
mimarks_c_hydrocarbon_resources_fluids_swabs_data	MimarksCHydrocarbonResourcesFluidsSwabs		
mimarks_c_microbial_mat_biofilm_data	MimarksCMicrobialMatBiofilm		
mimarks_c_miscellaneous_natural_or_artificial_environment_data	MimarksCMiscellaneousNaturalOrArtificialEnvironment		
mimarks_c_plant_associated_data	MimarksCPlantAssociated		
mimarks_c_sediment_data	MimarksCSediment		
mimarks_c_soil_data	MimarksCSoil		
mimarks_c_symbiont_associated_data	MimarksCSymbiontAssociated		
mimarks_c_wastewater_sludge_data	MimarksCWastewaterSludge		
mimarks_c_water_data	MimarksCWater		
mimarks_s_agriculture_data	MimarksSAgriculture		
mimarks_s_air_data	MimarksSAir		
mimarks_s_built_environment_data	MimarksSBuiltEnvironment		
mimarks_s_data	MimarksS		
mimarks_s_food_animal_and_animal_feed_data	MimarksSFoodAnimalAndAnimalFeed		
mimarks_s_food_farm_environment_data	MimarksSFoodFarmEnvironment		
mimarks_s_food_food_production_facility_data	MimarksSFoodFoodProductionFacility		
mimarks_s_food_human_foods_data	MimarksSFoodHumanFoods		
mimarks_s_host_associated_data	MimarksSHostAssociated		
mimarks_s_human_associated_data	MimarksSHumanAssociated		
mimarks_s_human_gut_data	MimarksSHumanGut		
mimarks_s_human_oral_data	MimarksSHumanOral		
mimarks_s_human_skin_data	MimarksSHumanSkin		
mimarks_s_human_vaginal_data	MimarksSHumanVaginal		
mimarks_s_hydrocarbon_resources_cores_data	MimarksSHydrocarbonResourcesCores		
mimarks_s_hydrocarbon_resources_fluids_swabs_data	MimarksSHydrocarbonResourcesFluidsSwabs		
mimarks_s_microbial_mat_biofilm_data	MimarksSMicrobialMatBiofilm		
mimarks_s_miscellaneous_natural_or_artificial_environment_data	MimarksSMiscellaneousNaturalOrArtificialEnvironment		
mimarks_s_plant_associated_data	MimarksSPlantAssociated		
mimarks_s_sediment_data	MimarksSSediment		
mimarks_s_soil_data	MimarksSSoil		
mimarks_s_symbiont_associated_data	MimarksSSymbiontAssociated		
mimarks_s_wastewater_sludge_data	MimarksSWastewaterSludge		
mimarks_s_water_data	MimarksSWater		
mims_agriculture_data	MimsAgriculture		
mims_air_data	MimsAir		
mims_built_environment_data	MimsBuiltEnvironment		
mims_data	Mims		
mims_food_animal_and_animal_feed_data	MimsFoodAnimalAndAnimalFeed		
mims_food_farm_environment_data	MimsFoodFarmEnvironment		
mims_food_food_production_facility_data	MimsFoodFoodProductionFacility		
mims_food_human_foods_data	MimsFoodHumanFoods		
mims_host_associated_data	MimsHostAssociated		
mims_human_associated_data	MimsHumanAssociated		
mims_human_gut_data	MimsHumanGut		
mims_human_oral_data	MimsHumanOral		
mims_human_skin_data	MimsHumanSkin		
mims_human_vaginal_data	MimsHumanVaginal		
mims_hydrocarbon_resources_cores_data	MimsHydrocarbonResourcesCores		
mims_hydrocarbon_resources_fluids_swabs_data	MimsHydrocarbonResourcesFluidsSwabs		
mims_microbial_mat_biofilm_data	MimsMicrobialMatBiofilm		
mims_miscellaneous_natural_or_artificial_environment_data	MimsMiscellaneousNaturalOrArtificialEnvironment		
mims_plant_associated_data	MimsPlantAssociated		
mims_sediment_data	MimsSediment		
mims_soil_data	MimsSoil		
mims_symbiont_associated_data	MimsSymbiontAssociated		
mims_wastewater_sludge_data	MimsWastewaterSludge		
mims_water_data	MimsWater		
misag_agriculture_data	MisagAgriculture		
misag_air_data	MisagAir		
misag_built_environment_data	MisagBuiltEnvironment		
misag_data	Misag		
misag_food_animal_and_animal_feed_data	MisagFoodAnimalAndAnimalFeed		
misag_food_farm_environment_data	MisagFoodFarmEnvironment		
misag_food_food_production_facility_data	MisagFoodFoodProductionFacility		
misag_food_human_foods_data	MisagFoodHumanFoods		
misag_host_associated_data	MisagHostAssociated		
misag_human_associated_data	MisagHumanAssociated		
misag_human_gut_data	MisagHumanGut		
misag_human_oral_data	MisagHumanOral		
misag_human_skin_data	MisagHumanSkin		
misag_human_vaginal_data	MisagHumanVaginal		
misag_hydrocarbon_resources_cores_data	MisagHydrocarbonResourcesCores		
misag_hydrocarbon_resources_fluids_swabs_data	MisagHydrocarbonResourcesFluidsSwabs		
misag_microbial_mat_biofilm_data	MisagMicrobialMatBiofilm		
misag_miscellaneous_natural_or_artificial_environment_data	MisagMiscellaneousNaturalOrArtificialEnvironment		
misag_plant_associated_data	MisagPlantAssociated		
misag_sediment_data	MisagSediment		
misag_soil_data	MisagSoil		
misag_symbiont_associated_data	MisagSymbiontAssociated		
misag_wastewater_sludge_data	MisagWastewaterSludge		
misag_water_data	MisagWater		
miscellaneous_natural_or_artificial_environment_data	MiscellaneousNaturalOrArtificialEnvironment		
miuvig_agriculture_data	MiuvigAgriculture		
miuvig_air_data	MiuvigAir		
miuvig_built_environment_data	MiuvigBuiltEnvironment		
miuvig_data	Miuvig		
miuvig_food_animal_and_animal_feed_data	MiuvigFoodAnimalAndAnimalFeed		
miuvig_food_farm_environment_data	MiuvigFoodFarmEnvironment		
miuvig_food_food_production_facility_data	MiuvigFoodFoodProductionFacility		
miuvig_food_human_foods_data	MiuvigFoodHumanFoods		
miuvig_host_associated_data	MiuvigHostAssociated		
miuvig_human_associated_data	MiuvigHumanAssociated		
miuvig_human_gut_data	MiuvigHumanGut		
miuvig_human_oral_data	MiuvigHumanOral		
miuvig_human_skin_data	MiuvigHumanSkin		
miuvig_human_vaginal_data	MiuvigHumanVaginal		
miuvig_hydrocarbon_resources_cores_data	MiuvigHydrocarbonResourcesCores		
miuvig_hydrocarbon_resources_fluids_swabs_data	MiuvigHydrocarbonResourcesFluidsSwabs		
miuvig_microbial_mat_biofilm_data	MiuvigMicrobialMatBiofilm		
miuvig_miscellaneous_natural_or_artificial_environment_data	MiuvigMiscellaneousNaturalOrArtificialEnvironment		
miuvig_plant_associated_data	MiuvigPlantAssociated		
miuvig_sediment_data	MiuvigSediment		
miuvig_soil_data	MiuvigSoil		
miuvig_symbiont_associated_data	MiuvigSymbiontAssociated		
miuvig_wastewater_sludge_data	MiuvigWastewaterSludge		
miuvig_water_data	MiuvigWater		
plant_associated_data	PlantAssociated		
sediment_data	Sediment		
soil_data	Soil		
symbiont_associated_data	SymbiontAssociated		
wastewater_sludge_data	WastewaterSludge		
water_data	Water		
