slot	used_in_nmdc	exclusive_to_mixs_compliant_data
time_last_toothbrush	False	False
time_since_last_wash	False	False
timepoint	False	False
tiss_cult_growth_med	True	False
toluene	True	False
tot_carb	True	False
tot_depth_water_col	True	False
tot_diss_nitro	True	False
tot_inorg_nitro	True	False
tot_iron	True	False
tot_nitro	True	False
tot_nitro_cont_meth	True	False
tot_nitro_content	True	False
tot_org_c_meth	True	False
tot_org_carb	True	False
tot_part_carb	True	False
tot_phosp	True	False
tot_phosphate	True	False
tot_sulfur	True	False
train_line	True	False
train_stat_loc	True	False
train_stop_loc	True	False
travel_out_six_month	False	False
trna_ext_software	False	False
trnas	False	False
trophic_level	False	False
turbidity	True	False
tvdss_of_hcr_press	True	False
tvdss_of_hcr_temp	True	False
twin_sibling	False	False
typ_occup_density	True	False
type_of_symbiosis	False	False
urine_collect_meth	False	False
urobiom_sex	False	False
urogenit_disord	False	False
urogenit_tract_disor	False	False
ventilation_rate	True	False
ventilation_type	True	False
vfa	True	False
vfa_fw	True	False
vir_ident_software	False	False
virus_enrich_appr	False	False
vis_media	True	False
viscosity	True	False
volatile_org_comp	True	False
wall_area	True	False
wall_const_type	True	False
wall_finish_mat	True	False
wall_height	True	False
wall_loc	True	False
wall_surf_treatment	True	False
wall_texture	True	False
wall_thermal_mass	True	False
wall_water_mold	True	False
wastewater_sludge_data	False	True
wastewater_type	True	False
water_cont_soil_meth	True	False
water_content	True	False
water_current	True	False
water_cut	True	False
water_data	False	True
water_feat_size	True	False
water_feat_type	True	False
water_frequency	False	False
water_pH	False	False
water_prod_rate	True	False
water_source_adjac	False	False
water_source_shared	False	False
water_temp_regm	True	False
watering_regm	True	False
weekday	True	False
weight_loss_3_month	False	False
wga_amp_appr	False	False
wga_amp_kit	False	False
win	True	False
wind_direction	True	False
wind_speed	True	False
window_cond	True	False
window_cover	True	False
window_horiz_pos	True	False
window_loc	True	False
window_mat	True	False
window_open_freq	True	False
window_size	True	False
window_status	True	False
window_type	True	False
window_vert_pos	True	False
window_water_mold	True	False
x16s_recover	False	False
x16s_recover_software	False	False
xylene	True	False
