studyGoldId	biosampleGoldId	ncbiBioProjectAccession	ncbiBioSampleAccession	ncbi_bioproject_accession	ncbi_biosample_accession	env_broad_scale	env_local_scale	env_medium	ecosystemPathId	ecosystem	ecosystemCategory	ecosystemType	ecosystemSubtype	specificEcosystem	envoBroadScale.id	envoBroadScale.label	envoLocalScale.id	envoLocalScale.label	envoMedium.id	envoMedium.label	bad_ebs	bad_em	cosine_distance_broad_scale	cosine_distance_local_scale	cosine_distance_medium
Gs0154244	Gb0239982	PRJEB42019	SAMEA7724250	PRJEB42019	SAMEA7724250	marine salt marsh biome	saline marsh	soil	4012	Environmental	Aquatic	Marine	Intertidal zone	Salt marsh	ENVO:01000022	marine salt marsh biome	ENVO:00000054	saline marsh	ENVO:00001998	soil	False	False	0.0	0.0	0.0
Gs0154244	Gb0239983	PRJEB42019	SAMEA7724251	PRJEB42019	SAMEA7724251	marine salt marsh biome	saline marsh	soil	4012	Environmental	Aquatic	Marine	Intertidal zone	Salt marsh	ENVO:01000022	marine salt marsh biome	ENVO:00000054	saline marsh	ENVO:00001998	soil	False	False	0.0	0.0	0.0
Gs0154244	Gb0239984	PRJEB42019	SAMEA7724252	PRJEB42019	SAMEA7724252	marine salt marsh biome	saline marsh	soil	4012	Environmental	Aquatic	Marine	Intertidal zone	Salt marsh	ENVO:01000022	marine salt marsh biome	ENVO:00000054	saline marsh	ENVO:00001998	soil	False	False	0.0	0.0	0.0
Gs0154244	Gb0239985	PRJEB42019	SAMEA7724253	PRJEB42019	SAMEA7724253	marine salt marsh biome	saline marsh	soil	4012	Environmental	Aquatic	Marine	Intertidal zone	Salt marsh	ENVO:01000022	marine salt marsh biome	ENVO:00000054	saline marsh	ENVO:00001998	soil	False	False	0.0	0.0	0.0
Gs0154244	Gb0239986	PRJEB42019	SAMEA7724254	PRJEB42019	SAMEA7724254	marine salt marsh biome	saline marsh	soil	4012	Environmental	Aquatic	Marine	Intertidal zone	Salt marsh	ENVO:01000022	marine salt marsh biome	ENVO:00000054	saline marsh	ENVO:00001998	soil	False	False	0.0	0.0	0.0
Gs0154244	Gb0239987	PRJEB42019	SAMEA7724255	PRJEB42019	SAMEA7724255	marine salt marsh biome	saline marsh	soil	4012	Environmental	Aquatic	Marine	Intertidal zone	Salt marsh	ENVO:01000022	marine salt marsh biome	ENVO:00000054	saline marsh	ENVO:00001998	soil	False	False	0.0	0.0	0.0
Gs0154244	Gb0239988	PRJEB42019	SAMEA7724256	PRJEB42019	SAMEA7724256	marine salt marsh biome	saline marsh	soil	4012	Environmental	Aquatic	Marine	Intertidal zone	Salt marsh	ENVO:01000022	marine salt marsh biome	ENVO:00000054	saline marsh	ENVO:00001998	soil	False	False	0.0	0.0	0.0
Gs0154244	Gb0239989	PRJEB42019	SAMEA7724257	PRJEB42019	SAMEA7724257	desert biome	montane desert	alpine soil	4202	Environmental	Terrestrial	Soil	Sand	Desert	ENVO:01000179	desert biome	ENVO:01000185	montane desert biome	ENVO:00005741	alpine soil	False	False	0.0	0.16333997346592444	0.0
Gs0154244	Gb0239990	PRJEB42019	SAMEA7724258	PRJEB42019	SAMEA7724258	desert biome	montane desert	alpine soil	4202	Environmental	Terrestrial	Soil	Sand	Desert	ENVO:01000179	desert biome	ENVO:01000185	montane desert biome	ENVO:00005741	alpine soil	False	False	0.0	0.16333997346592444	0.0
Gs0154244	Gb0239991	PRJEB42019	SAMEA7724259	PRJEB42019	SAMEA7724259	desert biome	montane desert	alpine soil	4202	Environmental	Terrestrial	Soil	Sand	Desert	ENVO:01000179	desert biome	ENVO:01000185	montane desert biome	ENVO:00005741	alpine soil	False	False	0.0	0.16333997346592444	0.0
