biosampleGoldId	ecosystemPathId	ecosystem	ecosystemCategory	ecosystemType	ecosystemSubtype	specificEcosystem	envoBroadScale.id	envoBroadScale.label	envoLocalScale.id	envoLocalScale.label	envoMedium.id	envoMedium.label
Gb0240034	6026	Environmental	Terrestrial	Soil	Boreal forest/Taiga	Bulk soil	ENVO:01000250	subpolar coniferous forest biome	ENVO:01000174	forest biome	ENVO:00001998	soil
Gb0240035	6026	Environmental	Terrestrial	Soil	Boreal forest/Taiga	Bulk soil	ENVO:01000250	subpolar coniferous forest biome	ENVO:01000174	forest biome	ENVO:00001998	soil
Gb0240036	6026	Environmental	Terrestrial	Soil	Boreal forest/Taiga	Bulk soil	ENVO:01000250	subpolar coniferous forest biome	ENVO:01000355	vegetation layer	ENVO:00005774	peat soil
Gb0240037	6026	Environmental	Terrestrial	Soil	Boreal forest/Taiga	Bulk soil	ENVO:01000250	subpolar coniferous forest biome	ENVO:01000355	vegetation layer	ENVO:00005774	peat soil
Gb0240038	6026	Environmental	Terrestrial	Soil	Boreal forest/Taiga	Bulk soil	ENVO:01000250	subpolar coniferous forest biome	ENVO:01000355	vegetation layer	ENVO:00005774	peat soil
Gb0240039	6026	Environmental	Terrestrial	Soil	Boreal forest/Taiga	Bulk soil	ENVO:01000250	subpolar coniferous forest biome	ENVO:01000355	vegetation layer	ENVO:00005774	peat soil
Gb0240040	6026	Environmental	Terrestrial	Soil	Boreal forest/Taiga	Bulk soil	ENVO:01000250	subpolar coniferous forest biome	ENVO:01000355	vegetation layer	ENVO:00005774	peat soil
Gb0240041	6026	Environmental	Terrestrial	Soil	Boreal forest/Taiga	Bulk soil	ENVO:01000250	subpolar coniferous forest biome	ENVO:01000355	vegetation layer	ENVO:00005774	peat soil
Gb0240042	6026	Environmental	Terrestrial	Soil	Boreal forest/Taiga	Bulk soil	ENVO:01000250	subpolar coniferous forest biome	ENVO:01000355	vegetation layer	ENVO:00005774	peat soil
Gb0240043	6026	Environmental	Terrestrial	Soil	Boreal forest/Taiga	Bulk soil	ENVO:01000250	subpolar coniferous forest biome	ENVO:01000355	vegetation layer	ENVO:00005774	peat soil
Gb0240044	6026	Environmental	Terrestrial	Soil	Boreal forest/Taiga	Bulk soil	ENVO:01000250	subpolar coniferous forest biome	ENVO:01000355	vegetation layer	ENVO:00005774	peat soil
Gb0240045	6026	Environmental	Terrestrial	Soil	Boreal forest/Taiga	Bulk soil	ENVO:01000250	subpolar coniferous forest biome	ENVO:01000355	vegetation layer	ENVO:00005774	peat soil
Gb0240046	6026	Environmental	Terrestrial	Soil	Boreal forest/Taiga	Bulk soil	ENVO:01000250	subpolar coniferous forest biome	ENVO:01000355	vegetation layer	ENVO:00005774	peat soil
Gb0240047	6026	Environmental	Terrestrial	Soil	Boreal forest/Taiga	Bulk soil	ENVO:01000250	subpolar coniferous forest biome	ENVO:01000355	vegetation layer	ENVO:00005774	peat soil
Gb0240048	6026	Environmental	Terrestrial	Soil	Boreal forest/Taiga	Bulk soil	ENVO:01000250	subpolar coniferous forest biome	ENVO:01000355	vegetation layer	ENVO:00005774	peat soil
Gb0240049	6026	Environmental	Terrestrial	Soil	Boreal forest/Taiga	Bulk soil	ENVO:01000250	subpolar coniferous forest biome	ENVO:01000355	vegetation layer	ENVO:00005774	peat soil
Gb0240050	6026	Environmental	Terrestrial	Soil	Boreal forest/Taiga	Bulk soil	ENVO:01000250	subpolar coniferous forest biome	ENVO:01000355	vegetation layer	ENVO:00005774	peat soil
Gb0240051	6026	Environmental	Terrestrial	Soil	Boreal forest/Taiga	Bulk soil	ENVO:01000250	subpolar coniferous forest biome	ENVO:01000355	vegetation layer	ENVO:00005774	peat soil
Gb0240052	6026	Environmental	Terrestrial	Soil	Boreal forest/Taiga	Bulk soil	ENVO:01000250	subpolar coniferous forest biome	ENVO:01000355	vegetation layer	ENVO:00005774	peat soil
Gb0240053	6026	Environmental	Terrestrial	Soil	Boreal forest/Taiga	Bulk soil	ENVO:01000250	subpolar coniferous forest biome	ENVO:01000355	vegetation layer	ENVO:00005774	peat soil
Gb0240054	6005	Environmental	Terrestrial	Soil	Temperate forest	Bulk soil	ENVO:01000211	temperate coniferous forest biome	ENVO:01000211	temperate coniferous forest biome	ENVO:00001998	soil
Gb0240055	6005	Environmental	Terrestrial	Soil	Temperate forest	Bulk soil	ENVO:01000211	temperate coniferous forest biome	ENVO:01000211	temperate coniferous forest biome	ENVO:00001998	soil
Gb0240056	6005	Environmental	Terrestrial	Soil	Temperate forest	Bulk soil	ENVO:01000211	temperate coniferous forest biome	ENVO:01000211	temperate coniferous forest biome	ENVO:00001998	soil
Gb0240057	6005	Environmental	Terrestrial	Soil	Temperate forest	Bulk soil	ENVO:01000211	temperate coniferous forest biome	ENVO:01000211	temperate coniferous forest biome	ENVO:00001998	soil
Gb0240058	6005	Environmental	Terrestrial	Soil	Temperate forest	Bulk soil	ENVO:01000211	temperate coniferous forest biome	ENVO:01001785	land	ENVO:00002261	forest soil
Gb0240059	6005	Environmental	Terrestrial	Soil	Temperate forest	Bulk soil	ENVO:01000211	temperate coniferous forest biome	ENVO:01001785	land	ENVO:00002261	forest soil
Gb0240060	6005	Environmental	Terrestrial	Soil	Temperate forest	Bulk soil	ENVO:01000211	temperate coniferous forest biome	ENVO:01001785	land	ENVO:00002261	forest soil
Gb0240061	6005	Environmental	Terrestrial	Soil	Temperate forest	Bulk soil	ENVO:01000211	temperate coniferous forest biome	ENVO:01001785	land	ENVO:00002261	forest soil
Gb0240062	6005	Environmental	Terrestrial	Soil	Temperate forest	Bulk soil	ENVO:01000211	temperate coniferous forest biome	ENVO:01000211	temperate coniferous forest biome	ENVO:00001998	soil
Gb0240063	6005	Environmental	Terrestrial	Soil	Temperate forest	Bulk soil	ENVO:01000211	temperate coniferous forest biome	ENVO:01000211	temperate coniferous forest biome	ENVO:00001998	soil
Gb0240064	6005	Environmental	Terrestrial	Soil	Temperate forest	Bulk soil	ENVO:01000211	temperate coniferous forest biome	ENVO:01000211	temperate coniferous forest biome	ENVO:00001998	soil
Gb0240065	6005	Environmental	Terrestrial	Soil	Temperate forest	Bulk soil	ENVO:01000211	temperate coniferous forest biome	ENVO:01000211	temperate coniferous forest biome	ENVO:00001998	soil
Gb0240066	6005	Environmental	Terrestrial	Soil	Temperate forest	Bulk soil	ENVO:01000211	temperate coniferous forest biome	ENVO:01000211	temperate coniferous forest biome	ENVO:00001998	soil
Gb0240067	6005	Environmental	Terrestrial	Soil	Temperate forest	Bulk soil	ENVO:01000211	temperate coniferous forest biome	ENVO:01000211	temperate coniferous forest biome	ENVO:00001998	soil
Gb0240068	6005	Environmental	Terrestrial	Soil	Temperate forest	Bulk soil	ENVO:01000211	temperate coniferous forest biome	ENVO:01000211	temperate coniferous forest biome	ENVO:00001998	soil
Gb0240069	6005	Environmental	Terrestrial	Soil	Temperate forest	Bulk soil	ENVO:01000211	temperate coniferous forest biome	ENVO:01000211	temperate coniferous forest biome	ENVO:00001998	soil
Gb0240070	6005	Environmental	Terrestrial	Soil	Temperate forest	Bulk soil	ENVO:01000211	temperate coniferous forest biome	ENVO:01000211	temperate coniferous forest biome	ENVO:00001998	soil
